Data_Hora,Instancia,Parametros_Teste,Algoritmo,Parametros_Algoritmo,Semente,Tempo_Medio_ms,Melhor_NetProfit,Custo_Equivalente,LB_Cost_Paper,Gap(%)
2026-07-04 17:42:48,K400.9,N/A,Guloso Puro,"N/A",1248996941,0.0200714,11960,413373,383105,7.901
2026-07-04 17:42:48,K400.9,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,3.3355,31843,393490,383105,2.711
2026-07-04 17:42:48,K400.9,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,3.75659,30702,394631,383105,3.009
2026-07-04 17:42:48,K400.9,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,3.23114,30275,395058,383105,3.120
2026-07-04 17:42:49,K400.9,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,3.39761,31843,393490,383105,2.711
2026-07-04 17:42:49,K400.9,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,8.92608,31843,393490,383105,2.711
2026-07-04 17:42:49,K400.3,N/A,Guloso Puro,"N/A",1248996941,0.0237852,14151,430065,401881,7.013
2026-07-04 17:42:49,K400.3,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,3.21679,28888,415328,401881,3.346
2026-07-04 17:42:49,K400.3,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,3.41759,28888,415328,401881,3.346
2026-07-04 17:42:49,K400.3,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,3.05555,28888,415328,401881,3.346
2026-07-04 17:42:49,K400.3,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,3.13529,28888,415328,401881,3.346
2026-07-04 17:42:49,K400.3,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,8.7928,28888,415328,401881,3.346
2026-07-04 17:42:49,K100.5,N/A,Guloso Puro,"N/A",1248996941,0.0162702,15097,130320,119078,9.441
2026-07-04 17:42:49,K100.5,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,1.51026,26339,119078,119078,0.000
2026-07-04 17:42:49,K100.5,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,1.59873,26339,119078,119078,0.000
2026-07-04 17:42:49,K100.5,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,1.76877,26339,119078,119078,0.000
2026-07-04 17:42:49,K100.5,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,1.74249,26339,119078,119078,0.000
2026-07-04 17:42:49,K100.5,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,4.13489,26339,119078,119078,0.000
2026-07-04 17:42:49,K100.10,N/A,Guloso Puro,"N/A",1248996941,0.0117908,15463,147264,133567,10.255
2026-07-04 17:42:49,K100.10,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,1.27979,29160,133567,133567,0.000
2026-07-04 17:42:49,K100.10,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,1.33112,29160,133567,133567,0.000
2026-07-04 17:42:49,K100.10,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,1.72979,29160,133567,133567,0.000
2026-07-04 17:42:49,K100.10,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,1.34459,29160,133567,133567,0.000
2026-07-04 17:42:49,K100.10,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,3.45385,29160,133567,133567,0.000
2026-07-04 17:42:49,K100.2,N/A,Guloso Puro,"N/A",1248996941,0.0167552,38312,204935,200262,2.333
2026-07-04 17:42:49,K100.2,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,2.27447,41431,201816,200262,0.776
2026-07-04 17:42:49,K100.2,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,2.1774,41431,201816,200262,0.776
2026-07-04 17:42:49,K100.2,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,2.37803,41431,201816,200262,0.776
2026-07-04 17:42:49,K100.2,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,2.29121,41431,201816,200262,0.776
2026-07-04 17:42:49,K100.2,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,5.58939,41431,201816,200262,0.776
2026-07-04 17:42:49,K400.7,N/A,Guloso Puro,"N/A",1248996941,0.043661,21136,521970,474466,10.012
2026-07-04 17:42:49,K400.7,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,4.05394,36202,506904,474466,6.837
2026-07-04 17:42:49,K400.7,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,4.02479,35933,507173,474466,6.893
2026-07-04 17:42:49,K400.7,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,4.46966,35933,507173,474466,6.893
2026-07-04 17:42:49,K400.7,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,4.36899,35933,507173,474466,6.893
2026-07-04 17:42:50,K400.7,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,11.199,35933,507173,474466,6.893
2026-07-04 17:42:50,K400.4,N/A,Guloso Puro,"N/A",1248996941,0.0233224,12698,420381,389451,7.942
2026-07-04 17:42:50,K400.4,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,3.42561,29844,403235,389451,3.539
2026-07-04 17:42:50,K400.4,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,3.25802,29844,403235,389451,3.539
2026-07-04 17:42:50,K400.4,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,3.12631,29844,403235,389451,3.539
2026-07-04 17:42:50,K400.4,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,3.39315,29844,403235,389451,3.539
2026-07-04 17:42:50,K400.4,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,8.40118,29844,403235,389451,3.539
2026-07-04 17:42:50,K100.9,N/A,Guloso Puro,"N/A",1248996941,0.0127888,21977,124475,122917,1.268
2026-07-04 17:42:50,K100.9,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,1.81413,23535,122917,122917,0.000
2026-07-04 17:42:50,K100.9,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,1.79385,23535,122917,122917,0.000
2026-07-04 17:42:50,K100.9,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,1.80282,23535,122917,122917,0.000
2026-07-04 17:42:50,K100.9,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,1.80546,23535,122917,122917,0.000
2026-07-04 17:42:50,K100.9,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,4.90228,23535,122917,122917,0.000
2026-07-04 17:42:50,K100.8,N/A,Guloso Puro,"N/A",1248996941,0.0163243,37087,231547,210869,9.806
2026-07-04 17:42:50,K100.8,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,1.95353,52257,216377,210869,2.612
2026-07-04 17:42:50,K100.8,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,1.92697,52257,216377,210869,2.612
2026-07-04 17:42:50,K100.8,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,2.04973,52257,216377,210869,2.612
2026-07-04 17:42:50,K100.8,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,2.06198,52257,216377,210869,2.612
2026-07-04 17:42:50,K100.8,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,5.23277,52257,216377,210869,2.612
2026-07-04 17:42:50,K400.6,N/A,Guloso Puro,"N/A",1248996941,0.0255305,14836,389232,374849,3.837
2026-07-04 17:42:50,K400.6,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,3.09012,27044,377024,374849,0.580
2026-07-04 17:42:50,K400.6,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,3.39023,27044,377024,374849,0.580
2026-07-04 17:42:50,K400.6,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,3.27243,27044,377024,374849,0.580
2026-07-04 17:42:50,K400.6,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,3.25988,27044,377024,374849,0.580
2026-07-04 17:42:50,K400.6,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,8.36331,27044,377024,374849,0.580
2026-07-04 17:42:50,K100.1,N/A,Guloso Puro,"N/A",1248996941,0.0130553,12532,136798,124108,10.225
2026-07-04 17:42:50,K100.1,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,1.52775,25222,124108,124108,0.000
2026-07-04 17:42:50,K100.1,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,1.54376,25222,124108,124108,0.000
2026-07-04 17:42:50,K100.1,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,1.60126,25222,124108,124108,0.000
2026-07-04 17:42:50,K100.1,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,1.44063,25222,124108,124108,0.000
2026-07-04 17:42:50,K100.1,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,3.74494,25222,124108,124108,0.000
2026-07-04 17:42:50,K100.7,N/A,Guloso Puro,"N/A",1248996941,0.0146521,34222,177666,172457,3.020
2026-07-04 17:42:50,K100.7,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,1.92933,39431,172457,172457,0.000
2026-07-04 17:42:50,K100.7,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,1.85221,39431,172457,172457,0.000
2026-07-04 17:42:50,K100.7,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,1.91938,39431,172457,172457,0.000
2026-07-04 17:42:50,K100.7,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,1.88208,39431,172457,172457,0.000
2026-07-04 17:42:50,K100.7,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,4.78895,39431,172457,172457,0.000
2026-07-04 17:42:50,K400.1,N/A,Guloso Puro,"N/A",1248996941,0.0450286,21888,500751,490771,2.034
2026-07-04 17:42:51,K400.1,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,3.71445,28561,494078,490771,0.674
2026-07-04 17:42:51,K400.1,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,3.4851,28561,494078,490771,0.674
2026-07-04 17:42:51,K400.1,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,3.42444,28561,494078,490771,0.674
2026-07-04 17:42:51,K400.1,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,3.23572,28561,494078,490771,0.674
2026-07-04 17:42:51,K400.1,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,8.17578,28561,494078,490771,0.674
2026-07-04 17:42:51,K400.5,N/A,Guloso Puro,"N/A",1248996941,0.0250496,9590,562629,519526,8.297
2026-07-04 17:42:51,K400.5,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,3.74302,35110,537109,519526,3.384
2026-07-04 17:42:51,K400.5,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,3.45703,35110,537109,519526,3.384
2026-07-04 17:42:51,K400.5,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,3.5606,35110,537109,519526,3.384
2026-07-04 17:42:51,K400.5,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,3.46028,35110,537109,519526,3.384
2026-07-04 17:42:51,K400.5,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,9.49943,35110,537109,519526,3.384
2026-07-04 17:42:51,K100.4,N/A,Guloso Puro,"N/A",1248996941,0.0154648,27025,90462,87498,3.388
2026-07-04 17:42:51,K100.4,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,1.33185,29989,87498,87498,0.000
2026-07-04 17:42:51,K100.4,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,1.39636,29989,87498,87498,0.000
2026-07-04 17:42:51,K100.4,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,1.46682,29989,87498,87498,0.000
2026-07-04 17:42:51,K100.4,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,1.48176,29989,87498,87498,0.000
2026-07-04 17:42:51,K100.4,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,3.69049,29989,87498,87498,0.000
2026-07-04 17:42:51,K400.2,N/A,Guloso Puro,"N/A",1248996941,0.0238434,16256,502187,477073,5.264
2026-07-04 17:42:51,K400.2,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,3.57614,38801,479642,477073,0.538
2026-07-04 17:42:51,K400.2,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,3.72189,38801,479642,477073,0.538
2026-07-04 17:42:51,K400.2,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,3.56104,38801,479642,477073,0.538
2026-07-04 17:42:51,K400.2,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,3.71188,38801,479642,477073,0.538
2026-07-04 17:42:51,K400.2,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,9.42918,38801,479642,477073,0.538
2026-07-04 17:42:51,K100.3,N/A,Guloso Puro,"N/A",1248996941,0.0128379,27947,116402,115953,0.387
2026-07-04 17:42:51,K100.3,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,1.8338,28396,115953,115953,0.000
2026-07-04 17:42:51,K100.3,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,1.80225,28396,115953,115953,0.000
2026-07-04 17:42:51,K100.3,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,1.72427,28396,115953,115953,0.000
2026-07-04 17:42:51,K100.3,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,1.87751,28396,115953,115953,0.000
2026-07-04 17:42:51,K100.3,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,4.68959,28396,115953,115953,0.000
2026-07-04 17:42:51,K400.8,N/A,Guloso Puro,"N/A",1248996941,0.0197215,10402,431160,418614,2.997
2026-07-04 17:42:51,K400.8,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,2.78058,22948,418614,418614,0.000
2026-07-04 17:42:51,K400.8,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,2.7757,22948,418614,418614,0.000
2026-07-04 17:42:52,K400.8,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,3.03977,22948,418614,418614,0.000
2026-07-04 17:42:52,K400.8,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,3.06723,22948,418614,418614,0.000
2026-07-04 17:42:52,K400.8,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,7.38824,22948,418614,418614,0.000
2026-07-04 17:42:52,K100.6,N/A,Guloso Puro,"N/A",1248996941,0.012277,20066,139826,132886,5.223
2026-07-04 17:42:52,K100.6,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,1.49121,27006,132886,132886,0.000
2026-07-04 17:42:52,K100.6,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,1.35778,27006,132886,132886,0.000
2026-07-04 17:42:52,K100.6,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,1.25574,27006,132886,132886,0.000
2026-07-04 17:42:52,K100.6,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,1.29474,27006,132886,132886,0.000
2026-07-04 17:42:52,K100.6,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,3.40831,27006,132886,132886,0.000
2026-07-04 17:42:52,K400.10,N/A,Guloso Puro,"N/A",1248996941,0.0375498,18427,430537,394191,9.220
2026-07-04 17:42:52,K400.10,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.100000;iter=30",1248996941,3.90219,39453,409511,394191,3.886
2026-07-04 17:42:52,K400.10,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.300000;iter=30",1248996941,4.01964,39453,409511,394191,3.886
2026-07-04 17:42:52,K400.10,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.500000;iter=30",1248996941,3.96069,39120,409844,394191,3.971
2026-07-04 17:42:52,K400.10,N/A,Guloso Randomizado Multi-Alpha,"alpha=0.800000;iter=30",1248996941,3.94426,39453,409511,394191,3.886
2026-07-04 17:42:52,K400.10,N/A,Randomizado Reativo,"alphas_qtd=4;iter=300;bloco=45",1248996941,12.6781,39453,409511,394191,3.886
